FIPS,Year,ASDCode,ERSCode,Insecticide,PercentCrop,LargeCropPatches,SoyGrains,Corn,FruitVeg,NaturalCropEdge,LandDiversity,AnnualPrecipitation,JanuaryTmean,AprilTmean,JulyTmean,OctoberTmean,AnnualGDD,WinterTminavg,SummerTmaxavg,TmaxWarmestMonth,TminColdestMonth
1001,2017,1040,6,0.36028304200091077,3.209345729,0.046167902827045,0.05394612393596525,0.029950607769643044,0.051564087294636914,1.5867147568305493,0.867051383,1753.8964815015197,52.56645193548387,69.19099966666667,81.81935483870967,66.43225774193549,5731.812314001774,45.22799964488889,87.83913147978261,90.80774344193549,36.662580428387095
1001,2012,1040,6,0.4558706599522926,3.13776245,0.047294449636267,0.1519679300291545,0.03783461436522661,0.05406838059899284,1.5188687580483273,0.869642201,1251.09749390364,49.73580677419355,66.09199966666667,83.40161290322581,62.22258064516129,5558.556802966336,45.16400025666667,89.9893477901087,92.90387061419355,38.00600020066667
1001,2007,1040,6,0.326247439415607,3.022769232,0.0490936412226808,0.05426506396629691,0.06586016310439455,0.05148224017315348,1.4063670595026658,0.870037763,858.0657088435601,47.44840774193548,61.41116566666667,80.42445774193548,67.66848161290322,5776.762080483064,39.57246782544444,93.91523245010869,98.19271210387096,33.67268439714286
1001,2002,1040,6,0.4343948571216231,2.950323505,0.0502991444663146,0.03147411839024934,0.06580952027052135,0.1066849986994166,1.2988484004155856,0.86465754,1180.5741462892,48.04748096774193,67.52604233333334,81.25384580645161,68.78317322580645,5545.584042537742,38.038300810555555,90.51107083195652,91.40947551129032,33.68259559321429
1003,2017,1050,6,0.7898905573937388,7.530398918,0.162907102730559,0.18212267752608807,0.06778315092898957,0.03945024179180453,2.6996310883183146,0.82045743,2078.1669776557,58.63124483870968,69.625312,82.25538967741936,70.58187677419355,6991.602175189965,50.41352123688889,88.83418249054348,90.63959380096775,43.96248522193548
1003,2012,1050,6,0.8190792636673468,7.438523814,0.173703348664866,0.3507195589696471,0.046250494129210784,0.05682753020865607,2.5375926585849715,0.819264613,1752.49648920118,56.74129,69.15799966666667,81.72645161290322,67.05354870967741,6829.361523501971,51.00799995022222,89.73108706228261,90.28516018774194,43.43599999833333
1003,2007,1050,6,0.6867807264220054,7.438489532,0.181154110267719,0.23683153342628258,0.05097242243070161,0.07813644634544037,2.472971549971286,0.823186815,1459.812914084817,51.63800806451613,64.223905,81.2136070967742,69.56413580645162,6313.064286937742,41.898161188555555,91.05445364239131,93.16214038451614,36.52418620214286
1003,2002,1050,6,0.547059176930009,7.34646016,0.186939590707268,0.22442775608290777,0.04768999699609492,0.09840793030940222,2.3640127045899444,0.813633915,1661.5363661967199,53.0367135483871,70.48168866666667,82.3826629032258,73.69845225806452,6515.281911769908,43.842569308777776,90.33843272630435,91.4971446367742,39.73059552071429
1005,2017,1060,6,0.3927309439676931,4.670389302,0.0300814345644485,0.07160330835242495,0.04135440531200248,0.022366326253252047,5.591507731158403,0.829707694,1283.8579830663,54.61569709677419,68.762028,81.84234709677419,69.11011419354838,6293.311124130493,44.71287201844444,89.04061947684782,90.85436199677419,41.20509879806452
1005,2012,1060,6,0.40596291255529093,4.510496563,0.0315736576723903,0.005358965634569581,0.05303674719292276,0.03572643756379721,5.295438523700583,0.829895723,984.1980258367399,52.726129032258065,66.44299966666667,81.87161419354838,66.48741838709678,6058.324731886832,46.27800006788889,88.38500114065218,92.24774465193548,39.74580660064516
