term,estimate,std.error,statistic,df,p.value,model
PercentCrop,0.03084679879664757,0.006510180383594079,4.73824026049766,105.43455053088225,6.764008852674593e-6,Var6
LandDiversity,-0.0021864794933631935,0.005101772962152296,-0.4285724805050475,100.96497777009175,0.6691473304339428,Var6
MeanCropArea,-0.004749172015435947,0.005170173052964389,-0.9185711903227194,24.286056886939463,0.367353397908983,Var6
LargeFarms,0.10223974215699579,0.005993037038048525,17.05975476338579,129.3431092409853,6.583271143678129e-35,Var6
ShrubGrassCropEdge,-0.005128846315881191,0.004701648282456374,-1.0908613336771391,43.6924293542345,0.28131329582387254,Var6
CropDiversity,0.02048407792928367,0.0038675993771274367,5.29632879000454,91.00355404029534,8.157728842915188e-7,Var6
PercentCrop,0.029915490694348578,0.006570845072709594,4.552761534219592,105.45788334292504,1.4250064725277915e-5,Var5_3yrs
LandDiversity,8.239934977857701e-5,0.005069981819762128,0.016252395513016455,101.03360020216465,0.9870650866180692,Var5_3yrs
MeanCropArea,-0.004111737513529385,0.005183612770777276,-0.793218493616921,24.355897458237415,0.4353102632862338,Var5_3yrs
LargeFarms,0.105676080916625,0.006298048114806019,16.779179674444237,129.96937600793555,2.4985405730113223e-34,Var5_3yrs
ShrubGrassCropEdge,-0.004168187941398085,0.0045348486505495415,-0.9191459875718181,43.68121900008754,0.3630671864507634,Var5_3yrs
PercentCrop,0.02772430751411459,0.006271190219355197,4.420900426293432,106.8350571622478,2.3702678556965345e-5,Var5
LandDiversity,-0.0010179982930156896,0.004726761848357109,-0.21536906780474196,98.49184003185212,0.8299249379604643,Var5
MeanCropArea,-0.005417340543122097,0.00509303614796378,-1.063676044256622,25.717785351355165,0.2973613604202816,Var5
LargeFarms,0.10192921761826139,0.005925050634258274,17.203096464511713,133.90121783309525,1.0112371322883451e-35,Var5
ShrubGrassCropEdge,-0.003752637224862479,0.004285621418002425,-0.8756343267043929,43.64903297859884,0.3860221379325003,Var5
PercentCrop,0.023350744075595363,0.006147085120784871,3.7986693882992624,99.60796096615647,2.504088453733933e-4,Var6_crops
LandDiversity,-0.004259450627204827,0.004714999779307019,-0.9033829960922827,101.21013039110403,0.36846779688663056,Var6_crops
MeanCropArea,-0.002520622075859884,0.004167761555245603,-0.604790375468432,24.61167555586017,0.5508540849590775,Var6_crops
LargeFarms,0.0943140983101316,0.008023567794150139,11.754633441110148,104.6186734769072,7.674347375386552e-21,Var6_crops
ShrubGrassCropEdge,-0.0013850134539773859,0.004063224795050641,-0.3408655744728798,45.16598907496537,0.7347853369708612,Var6_crops
CropDiversity,0.018134683830421595,0.00358769178495735,5.05469391391356,92.57393785927609,2.164018792483378e-6,Var6_crops
SoyGrains,-0.0077886549761326754,0.0066883544733983965,-1.164509896583757,116.25923729402636,0.2466014689234034,Var6_crops
Corn,0.030972374073769234,0.007068107227078664,4.38198984235989,124.8259551977336,2.4663965527797746e-5,Var6_crops
FruitVeg,0.045744886942843184,0.010070186994940524,4.542605511280613,16.594324081705633,3.0521635824054674e-4,Var6_crops
PercentCrop,0.02096144301150394,0.006209546270556668,3.3756802990413672,100.30338775157453,0.0010484798482577162,Var5_3yrs_crops
LandDiversity,-0.0025242968420445175,0.00469313799459439,-0.5378697248945229,101.03665607603085,0.591849807222557,Var5_3yrs_crops
MeanCropArea,-0.0018114310791488588,0.004200352278934005,-0.43125694200310655,24.702014721283973,0.6700218779783733,Var5_3yrs_crops
LargeFarms,0.09548771185612924,0.008314384528588452,11.484639846497497,104.71914151277498,3.0087037612713583e-20,Var5_3yrs_crops
ShrubGrassCropEdge,-3.377202169867805e-4,0.0038089283129574005,-0.08866541694625944,45.1067818910792,0.9297403192754938,Var5_3yrs_crops
SoyGrains,-0.005761027958664719,0.006995349687192017,-0.8235511041303264,118.08909502112988,0.4118547965849405,Var5_3yrs_crops
Corn,0.03511453954306722,0.0069280984283369715,5.068423883737482,127.3682843678767,1.378119892415325e-6,Var5_3yrs_crops
FruitVeg,0.046461326168259376,0.010690099919709956,4.346201300008052,16.941178211048648,4.4235306284908443e-4,Var5_3yrs_crops
PercentCrop,0.021272257232085878,0.005968248911637328,3.5642376092270007,100.57065565410184,5.600000139724579e-4,Var5_crops
LandDiversity,-0.002915405320351294,0.004345253040393288,-0.6709402866184799,98.29013289012981,0.5038321971190045,Var5_crops
MeanCropArea,-0.0028501036928665594,0.003962316943890922,-0.7193023004534843,27.439725594788133,0.4780364870341278,Var5_crops
LargeFarms,0.09668508103159232,0.0076907762517676006,12.571563372341098,109.31492403480773,5.798262367003795e-23,Var5_crops
ShrubGrassCropEdge,0.0018143513503496302,0.0033929116685752635,0.5347475936830105,45.108675617433754,0.5954506372307624,Var5_crops
SoyGrains,-0.01979787959035491,0.006464758465481622,-3.06243144211266,116.92028466136424,0.002724912085911764,Var5_crops
Corn,0.037699436346576055,0.0065242875049182835,5.778322355990079,126.60597945162104,5.536475942907214e-8,Var5_crops
FruitVeg,0.04872619241061267,0.00890347319373,5.472717371118342,18.268299569284427,3.2066394611995953e-005,Var5_crops
