term,ERS,estimate,std.error,statistic,df,p.value,model
LandDiversity,1,0.016521550863283625,0.009560415628432623,1.7281205656110414,26.37270289214549,0.09566035515575652,Var5
LandDiversity,2,-0.02559900152772894,0.015654134038982765,-1.6352869768446425,36.58658799420713,0.1105648166120968,Var5
LandDiversity,3,-0.024449272431309944,0.012550155568701113,-1.9481250489264126,26.279805475003247,0.06215471327405598,Var5
LandDiversity,4,-0.012311195218001541,0.011284176664016567,-1.0910140442288512,44.38183740841432,0.2811545067523871,Var5
LandDiversity,5,-0.015335465008950718,0.01758426260523787,-0.8721130566136281,11.570088241611899,0.4008826870283999,Var5
LandDiversity,6,-0.031068511654538687,0.02281426583942943,-1.361801947658715,10.40056474816196,0.20202758226814457,Var5
LandDiversity,7,0.016526253021779954,0.017735885137345857,0.9317974769120024,23.68524674975753,0.3608427595987629,Var5
LandDiversity,8,-0.03905842541327255,0.024584387494339326,-1.5887491775935414,18.568700890548797,0.1289988420331729,Var5
LandDiversity,9,-0.009874227849246077,0.019497614648256043,-0.5064326086744808,15.927049322504104,0.6194912582326343,Var5
LargeFarms,1,0.04846736889278197,0.009461904171142108,5.1223694529271135,26.780029422980267,2.2423528132509495e-5,Var5
LargeFarms,2,-0.007338235295598661,0.015563628618623768,-0.47149899778626003,52.62944656044189,0.6392332604225166,Var5
LargeFarms,3,-0.017644268549842544,0.012913697170074059,-1.3663220003897114,31.14298659208241,0.18162299295278506,Var5
LargeFarms,4,0.05502124241257338,0.013858581095533487,3.9701930546343087,39.35766195736962,2.9624584581255324e-4,Var5
LargeFarms,5,-0.006633710393223595,0.01582176932594984,-0.4192774054886146,32.83767410306175,0.6777436233586751,Var5
LargeFarms,6,0.04000591811001645,0.012696107280928933,3.1510381272620553,44.041983947391095,0.0029235717938099464,Var5
LargeFarms,7,0.04477117857532278,0.02122001204746125,2.1098564164424767,42.23246684789419,0.0408365142632501,Var5
LargeFarms,8,-0.036438116851013856,0.023347125494593297,-1.5607110545344076,27.649395156929035,0.12996622261192387,Var5
LargeFarms,9,0.0869370484335647,0.013264648764502935,6.554040742202983,32.855256330752354,1.946762600809168e-7,Var5
MeanCropArea,1,-0.013497888990581934,0.006785375466211206,-1.9892619145096238,9.550009939218505,0.07605886857981203,Var5
MeanCropArea,2,0.02900131466423488,0.022075925577530756,1.3137077565505522,4.444456578738972,0.2526589933607935,Var5
MeanCropArea,3,0.009719701463436944,0.015481971967219862,0.627807716227401,11.18902284324818,0.542730649825719,Var5
MeanCropArea,4,0.012984466072204052,0.008059145695171908,1.6111467100021304,13.37402838224227,0.13048730647369686,Var5
MeanCropArea,5,-0.012932986333948258,0.035729375672604695,-0.36197067792216014,5.109190639473813,0.731864443493866,Var5
MeanCropArea,6,0.06786277591643913,0.043339241750296374,1.5658505588869711,5.8460366555883265,0.16971504022313044,Var5
MeanCropArea,7,0.011329531068405115,0.030000158286420903,0.3776490430563244,11.20569425805625,0.7127467067953686,Var5
MeanCropArea,8,-0.09862199503448972,0.06983701603351879,-1.4121736671445895,6.209700986596045,0.20599711331133658,Var5
MeanCropArea,9,-0.014512239344838786,0.04484866613073251,-0.3235824071676077,5.7486844128954555,0.7577003180068496,Var5
NaturalCropEdge,1,-0.01921912307101413,0.008724786155369823,-2.202818811689199,28.339216723767805,0.03590172143615148,Var5
NaturalCropEdge,2,0.03452879729481124,0.017246080333632098,2.0021243451751523,44.97994472171134,0.05132312724068545,Var5
NaturalCropEdge,3,0.01261141231300655,0.014199979628943815,0.8881289017697399,20.59379830291421,0.38472740610946465,Var5
NaturalCropEdge,4,6.360799668076975e-4,0.010956656182459775,0.058054205244295366,38.14748563380239,0.9540084933714195,Var5
NaturalCropEdge,5,0.034639117823746554,0.030392996538528456,1.1397072276119729,6.275627300128007,0.29603257378519865,Var5
NaturalCropEdge,6,0.0557087485161646,0.01863470475560658,2.9895160265098184,17.680280343798216,0.00797675471034136,Var5
NaturalCropEdge,7,-0.011324385589057665,0.026209505233829245,-0.4320717040641044,8.80842679593965,0.67607296948874,Var5
NaturalCropEdge,8,-0.11802573759017551,0.07464858746332398,-1.5810846742165539,4.607725869536547,0.17961870059441917,Var5
NaturalCropEdge,9,-0.0067929076202775775,0.022982012421027195,-0.29557496949494577,8.630544416240735,0.7745420490947623,Var5
PercentCrop,1,0.0684699726260526,0.014332440410777214,4.777272443747048,21.56551310177983,9.505843838442045e-5,Var5
PercentCrop,2,-0.07552674827710469,0.019989379795203127,-3.778343753077768,29.64659124808362,7.091856780540428e-4,Var5
PercentCrop,3,-0.04573444825534974,0.02109580025665671,-2.1679409028779735,23.40311610278499,0.040569820884064765,Var5
PercentCrop,4,-0.04460627112195981,0.018550788407577037,-2.4045485368018356,35.352658572125094,0.02156226091605689,Var5
PercentCrop,5,0.04513912661017915,0.07566715334003488,0.5965484971706528,4.979261429630146,0.5768933816530701,Var5
PercentCrop,6,-0.09956839813725087,0.03348181956398556,-2.9738048718341097,12.824242942625855,0.010905854413425363,Var5
PercentCrop,7,-0.014190365086810201,0.02895240264821114,-0.49012737420211894,18.428443291455483,0.6298280175899311,Var5
PercentCrop,8,0.1825207091627898,0.12695646870763244,1.4376637206499185,3.1753423292400096,0.24128931824581068,Var5
PercentCrop,9,-0.031117796546429963,0.03972258601333752,-0.7833779134113182,12.0918315321948,0.4484776776056114,Var5
LandDiversity,1,0.02056905520248315,0.010260450570700392,2.0046931721711982,25.1671076736674,0.055866140276979594,Var5_3yrs
LandDiversity,2,-0.030178504017946375,0.016523432733289434,-1.8264064438103311,36.09740231739164,0.07606871824911682,Var5_3yrs
LandDiversity,3,-0.029795998124888725,0.014642046271857589,-2.0349613415822514,25.774155968093364,0.05226116707474826,Var5_3yrs
LandDiversity,4,-0.017303888359972305,0.012230914446900071,-1.4147665274821688,42.79607339917084,0.1643721569008556,Var5_3yrs
LandDiversity,5,-0.016219399504448225,0.017169945842332616,-0.9446389437326697,11.696536416046468,0.3639484417773805,Var5_3yrs
LandDiversity,6,-0.04086803916006035,0.027744062050547528,-1.473037332658857,10.24340153442486,0.17079189621963803,Var5_3yrs
LandDiversity,7,0.011832999235862483,0.018869311553690725,0.6271028596985574,23.645518996536108,0.5366006168150763,Var5_3yrs
LandDiversity,8,-0.03085049294861809,0.030730514434664208,-1.0039042143016828,17.33212022991306,0.32923546354776034,Var5_3yrs
LandDiversity,9,-0.012477917020743948,0.020728801729758637,-0.6019603633349644,16.264921647809594,0.5554996251620149,Var5_3yrs
LargeFarms,1,0.060732190567566,0.009796457574537856,6.199403213404006,25.5721481178749,1.5851451866303025e-6,Var5_3yrs
LargeFarms,2,-0.01571929730728362,0.016761882670863964,-0.9378002230386328,49.9348657922028,0.3528610339517507,Var5_3yrs
LargeFarms,3,-0.032325838694385003,0.01380956859165365,-2.3408290041676163,27.04352937487557,0.026863421508921667,Var5_3yrs
LargeFarms,4,0.04975856009930905,0.013991146484679362,3.5564319302778977,37.73870100965881,0.0010326352888782467,Var5_3yrs
LargeFarms,5,-0.014833620228958117,0.016332340835962106,-0.9082360194379508,32.578848805665466,0.37042339502313104,Var5_3yrs
LargeFarms,6,0.030762658028103705,0.013882872857118507,2.215871192130814,42.01813721977279,0.03217143602650181,Var5_3yrs
LargeFarms,7,0.029938407790134517,0.02142954888099083,1.397061970664791,40.81183119582036,0.169945303657652,Var5_3yrs
LargeFarms,8,-0.046093503646780123,0.024285112956378252,-1.8980147932428746,25.750683098778016,0.06895815208869947,Var5_3yrs
LargeFarms,9,0.07821552878076107,0.013898468371729335,5.627636563166781,32.56925303801146,3.018415326831401e-6,Var5_3yrs
