term,estimate,std.error,statistic,df,p.value,model
pland_crops,0.03463445805376768,0.0402888003157541,0.8596547373545047,10.065234683156058,0.40998702865084957,cp_twoways_var7
cropintensity,0.0013521549337038462,0.002367614851273573,0.5711042625773796,2.7667497518401847,0.6109952351512282,cp_twoways_var7
msidi,-0.015479875066091667,0.01998549277834485,-0.7745555857829427,32.7976551899183,0.444150627023,cp_twoways_var7
mna_crops,-0.026364862232682237,0.017988733478877007,-1.4656319336567396,10.79673416896584,0.17125625980084314,cp_twoways_var7
largefarm_planted,0.08423270094029751,0.008400562691958203,10.027030810797099,330.72601152026687,7.782696146837321e-21,cp_twoways_var7
natural_crops_ed,0.10724040148342151,0.032284907785740974,3.321688331746933,57.5695816755491,0.0015581791068700127,cp_twoways_var7
SDI,0.0029436060037338874,0.003190596997430947,0.9225878436242699,473.8437155250855,0.3566915523882296,cp_twoways_var7
pland_crops,0.07078423510732862,0.04994971289062776,1.4171099494069388,10.308836271982335,0.18595673414613742,cp_individual_var7
cropintensity,0.0012459788351890707,0.0020177056511017986,0.617522597762803,2.7670622367432642,0.5839600019412358,cp_individual_var7
msidi,-0.008597325755585791,0.02018063989279668,-0.42601849105164097,33.415731436041234,0.6728260732989104,cp_individual_var7
mna_crops,-0.00609101025181401,0.01882880260168993,-0.32349429651290346,11.043387857364626,0.7523642615108481,cp_individual_var7
largefarm_planted,0.08897489742427034,0.008056983915805987,11.043201569475848,342.87743276234295,1.8392933621424567e-24,cp_individual_var7
natural_crops_ed,0.19046562133418876,0.03617861159852809,5.264591782785213,66.18375852912418,1.635759144592911e-6,cp_individual_var7
SDI,0.003916012645878111,0.003146631974732595,1.2445092649294964,469.23816673747416,0.21393342491425343,cp_individual_var7
pland_crops,0.02257920288843473,0.006637752803956582,3.401633588249308,524.185576836734,7.209850325157795e-4,cp_time_var7
cropintensity,-8.137799669023273e-4,8.02604045468684e-4,-1.013924576504118,3.6245015261766,0.37344287790936265,cp_time_var7
msidi,0.03355740648017191,0.004014271368244447,8.359526151030368,526.2996225261278,5.653483338245672e-16,cp_time_var7
mna_crops,-0.025038142306380917,0.004265942552407356,-5.869310708896301,72.89876376079725,1.1974365353217754e-7,cp_time_var7
largefarm_planted,0.1008374204048068,0.005815923466060926,17.338161513515086,932.7918613305633,1.3761415561346416e-58,cp_time_var7
natural_crops_ed,-0.0024047601673416225,0.005442894037643143,-0.44181645843374173,622.63190605772,0.6587754334281372,cp_time_var7
SDI,0.013980939021359176,0.003517092109433956,3.9751415619334693,951.37198395937,7.566114351315494e-5,cp_time_var7
pland_crops,-0.015681177734191507,0.03828962260859646,-0.4095411933015736,20.167641114227763,0.686459691363014,cp_twoways_var6
cropintensity,0.001563727143645962,0.0025400473382695917,0.6156291341842676,3.16754521109056,0.5795617377241918,cp_twoways_var6
msidi,-0.06723174444640358,0.015815963768309512,-4.250878759669138,53.08127979533113,8.654199706439053e-5,cp_twoways_var6
mna_crops,-0.026982259459811826,0.012977055023806252,-2.07922825404633,12.386054586026804,0.058994513670426844,cp_twoways_var6
largefarm_planted,0.080832323140294,0.006517680593977549,12.402007428069501,409.9875991882035,3.260032151703663e-30,cp_twoways_var6
natural_crops_ed,0.10982607556132805,0.026905247100423055,4.081957513766939,109.22432529980296,8.527815662283154e-5,cp_twoways_var6
pland_crops,0.1051691614227721,0.050242178032398575,2.0932444719047405,20.600489650906656,0.04889170553258254,cp_individual_var6
