term,estimate,std.error,statistic,p.value,model
PercentCrop,0.019916730420524182,0.004825415926979601,4.127463978631738,3.702381782371171e-5,natural
NaturalCropEdge,0.004056808245755515,0.0031326190419006745,1.295021255854367,0.1953475605147967,natural
MeanCropArea,-0.0010521252516455016,0.003089417492334758,-0.34055780879598163,0.7334447905382635,natural
LargeFarms,0.09556961558047466,0.003058901546135154,31.24311591565426,4.2224455242288906e-203,natural
SoyGrains,-0.008051111010746891,0.0030876874639133908,-2.6074889718737166,0.0091366100869111,natural
Corn,0.032216087658354015,0.0035700738613389533,9.023927489912323,2.20684303054828e-19,natural
FruitVeg,0.04553399566393059,0.002025815674596334,22.47687005038291,8.904100169837834e-109,natural
LandDiversity,-0.005227178577972064,0.0023682545466214254,-2.2071861259294137,0.02732729519461022,natural
CropDiversity,0.017954042718157075,0.0018491962427520723,9.709106206833361,3.580214346851399e-22,natural
PercentCrop,0.020080264762695484,0.004477249289232568,4.484955709521679,7.387253632393181e-6,forest
ForestCropEdge,0.005487467673686841,0.0029078113896035852,1.8871470458181725,0.059174100843143174,forest
MeanCropArea,-8.672573067620479e-4,0.0030074493773187,-0.28836971066001904,0.7730706802204352,forest
LargeFarms,0.09555096666193855,0.0030399002173905603,31.43227074208349,2.0512400315019095e-205,forest
SoyGrains,-0.007966789081472947,0.003076215073488156,-2.589802367894684,0.009619248376046793,forest
Corn,0.03153717861453896,0.0035777070095591853,8.814913722749115,1.431730451110415e-18,forest
FruitVeg,0.04545899279972159,0.002026233669760349,22.435217358271526,2.1583851265850514e-108,forest
LandDiversity,-0.005324522743281611,0.0023518629306973136,-2.2639596354805085,0.023601326508141784,forest
CropDiversity,0.017932428862592817,0.0018465126939331518,9.711511283681439,3.497614527436017e-22,forest
PercentCrop,0.023513685896741122,0.0043184562838740805,5.444928546468237,5.325050820586477e-8,shrubgrass
ShrubgrassCropEdge,-0.0015492791772106496,0.0028441180101431863,-0.5447309751864521,0.5859526413048716,shrubgrass
MeanCropArea,-0.0026749129132618305,0.0029002731487708204,-0.9222968927583594,0.35639953244514555,shrubgrass
LargeFarms,0.0962563729345669,0.0030243392201729576,31.827240903572363,2.7896112092000413e-210,shrubgrass
SoyGrains,-0.007495730148284757,0.003084654242285063,-2.430006593780196,0.015118813384120624,shrubgrass
Corn,0.03182748180122624,0.0035913344358886514,8.86229961854019,9.40479026844098e-19,shrubgrass
FruitVeg,0.04556255198610242,0.0020258396475360766,22.490700111194776,6.633929308681238e-109,shrubgrass
LandDiversity,-0.00442690910433732,0.0023542330338623026,-1.8804039535009969,0.06008671442495391,shrubgrass
CropDiversity,0.018189478570793716,0.001845104765621932,9.858236187831082,8.332903104109808e-23,shrubgrass
