term,ERS,estimate,std.error,statistic,p.value,model
ForestCropEdge,1,-0.011295808436074676,0.004103022684847909,-2.7530455724237335,0.0059132936808575535,Var5
ForestCropEdge,2,0.038617338742871044,0.007093227513257271,5.444254913675768,5.3052144930995357e-8,Var5
ForestCropEdge,3,0.045139750806293275,0.0345408603913451,1.3068507933752551,0.19128856987148435,Var5
ForestCropEdge,4,0.001852413829364385,0.01207176376039316,0.15345013919524006,0.8780459019524642,Var5
ForestCropEdge,5,0.01940792224944407,0.017603823890724568,1.1024833223689587,0.2702738356459862,Var5
ForestCropEdge,6,0.05041881314759045,0.008234013092221123,6.123236942047415,9.45741908804828e-10,Var5
ForestCropEdge,7,0.0462389654176623,0.017201231688097573,2.6881194472636194,0.00719553946890373,Var5
ForestCropEdge,8,0.8376140738131178,0.0879278737797923,9.526149533774117,1.9451889261231425e-21,Var5
ForestCropEdge,9,0.003661050910686558,0.01241609040517951,0.29486342247953595,0.7681033435220437,Var5
LandDiversity,1,0.010644925733345552,0.006989617143286683,1.5229626337359097,0.12779454813304042,Var5
LandDiversity,2,-0.01990084718119427,0.008781712341568668,-2.2661693308937747,0.023458844896088453,Var5
LandDiversity,3,-0.014355212906651399,0.009706188611866735,-1.4789752683252817,0.13917331624954965,Var5
LandDiversity,4,-0.030092965850240423,0.00832487538368047,-3.614824782750822,3.0178812596539376e-4,Var5
LandDiversity,5,-0.006430262776967178,0.009067667507388197,-0.709141879290115,0.47825028845551376,Var5
LandDiversity,6,-0.0318969842223044,0.0105958178892493,-3.0103371495906543,0.002615033365607143,Var5
LandDiversity,7,0.03423386241673032,0.009497062243295384,3.604679167065406,3.138119478125447e-4,Var5
LandDiversity,8,-0.01964917350446533,0.010280297597625696,-1.911342869004438,0.05598445948497019,Var5
LandDiversity,9,-0.00997294473676509,0.014190352687242816,-0.7027975242455254,0.482195647732481,Var5
LargeFarms,1,0.0658838776821652,0.00880126997472019,7.485723977494485,7.615236046481156e-14,Var5
LargeFarms,2,-0.02451992113904094,0.01118333533146134,-2.1925409917791394,0.028359703466607895,Var5
LargeFarms,3,-0.028706959628994427,0.012137540503626384,-2.36513811182896,0.018039249136477226,Var5
LargeFarms,4,0.056630312240189516,0.010143622447639293,5.582848980481227,2.417768022488895e-8,Var5
LargeFarms,5,-0.0024018824434790943,0.01345554572319153,-0.17850501888892473,0.8583294097432699,Var5
LargeFarms,6,0.053318588350441724,0.010498163821328618,5.078848954720719,3.8545990687409437e-7,Var5
LargeFarms,7,0.050971336162883185,0.010464589027827532,4.870839746055935,1.1255111302158286e-6,Var5
LargeFarms,8,-0.022021441693204948,0.01095167175041684,-2.0107835767052435,0.04437076925194192,Var5
LargeFarms,9,0.09635683767316928,0.012364150330446723,7.793243781247996,7.071633679288968e-15,Var5
MeanCropArea,1,-0.012149427654159493,0.005333402639604979,-2.2779880828684904,0.022744885830080705,Var5
MeanCropArea,2,0.03795270817540327,0.015103214551271222,2.512889428046219,0.011987757147605993,Var5
MeanCropArea,3,0.012093865654597415,0.010226313946308392,1.1826221762889642,0.23698247820875612,Var5
MeanCropArea,4,0.012628970865559199,0.006665793029696045,1.8945939079262217,0.058170371559825955,Var5
MeanCropArea,5,0.0214383877652757,0.02188521616291108,0.9795830941623223,0.32731180892119593,Var5
MeanCropArea,6,0.07327797682905597,0.019654168663877935,3.728368168719969,1.9361483842964835e-4,Var5
MeanCropArea,7,0.04023855198068137,0.01134993190923135,3.545268139269959,3.937152182176245e-4,Var5
MeanCropArea,8,-0.008111982996795499,0.01397145092175242,-0.5806113511207198,0.5615133825328454,Var5
MeanCropArea,9,-0.0031560892684831454,0.018459492492270642,-0.17097378326108711,0.864247278299026,Var5
PercentCrop,1,0.05714957461372189,0.009960854153957742,5.73741706588633,9.84680075290922e-9,Var5
PercentCrop,2,-0.07292625480650636,0.015122703402322704,-4.822302789811085,1.4366236063117685e-6,Var5
PercentCrop,3,-0.03714309405029381,0.015736427646631034,-2.3603256650339994,0.018274892815001872,Var5
PercentCrop,4,-0.04704157580113549,0.012589391510619668,-3.736604407087824,1.8739169440965304e-4,Var5
PercentCrop,5,0.044718746432454985,0.042172663634866374,1.0603728239608663,0.28899647826842445,Var5
PercentCrop,6,-0.06944637497213176,0.0193047286730393,-3.597376381110165,3.2274270954061316e-4,Var5
PercentCrop,7,-0.023280156070280954,0.01559401718926594,-1.4928902403869175,0.13549235335432053,Var5
PercentCrop,8,-0.12390344432425605,0.03230284564777313,-3.8356820224226165,1.258607093646124e-4,Var5
PercentCrop,9,-0.04404573130934417,0.02039355780134805,-2.159786523685076,0.030809049140984764,Var5
ForestCropEdge,1,-0.013202913762430546,0.004764433560662079,-2.771140282328931,0.0055975928488334915,Var5_3yrs
ForestCropEdge,2,0.04176153111310953,0.008283933652332147,5.0412681783554065,4.715385236502252e-7,Var5_3yrs
ForestCropEdge,3,0.04630003587291026,0.04005115583992865,1.1560224643192905,0.24770289517667496,Var5_3yrs
ForestCropEdge,4,0.005953453610874084,0.014024776662389634,0.42449543077855295,0.6712147632512948,Var5_3yrs
ForestCropEdge,5,0.025744935975334327,0.02024506416403668,1.2716648249042162,0.2035253510438203,Var5_3yrs
ForestCropEdge,6,0.051331141422864913,0.009620651182047113,5.335516323328803,9.760770818955619e-8,Var5_3yrs
ForestCropEdge,7,0.06458597310825918,0.020124752229837072,3.2092804110404725,0.0013353801229407153,Var5_3yrs
ForestCropEdge,8,0.8348970823916361,0.10150654679287663,8.225056499018113,2.224582818541416e-16,Var5_3yrs
ForestCropEdge,9,0.008847913324904918,0.014439153468890832,0.6127723030278579,0.540042511088757,Var5_3yrs
LandDiversity,1,0.017694740153252765,0.008269059428124134,2.1398733806496395,0.03239202115375723,Var5_3yrs
LandDiversity,2,-0.027219857682265258,0.010351344504671678,-2.629596345670906,0.008563285621197054,Var5_3yrs
LandDiversity,3,-0.023555700926932262,0.011425988255608007,-2.0615898073736294,0.039275680426671206,Var5_3yrs
LandDiversity,4,-0.03958334594749716,0.009870926106282422,-4.010094445171062,6.118881493582441e-5,Var5_3yrs
LandDiversity,5,-0.011392589597881695,0.010730224527661675,-1.061728910565897,0.2883874830583997,Var5_3yrs
LandDiversity,6,-0.03929451949118267,0.01253658054021958,-3.134388948016476,0.001727704332820884,Var5_3yrs
LandDiversity,7,0.034721634890603,0.011151712356755947,3.1135698070232136,0.0018542320452179606,Var5_3yrs
LandDiversity,8,-0.023385259572678,0.012181793217914719,-1.919689421282189,0.05492896641377891,Var5_3yrs
LandDiversity,9,-0.011964452392231751,0.016776701056284038,-0.7131588237814033,0.475766118188537,Var5_3yrs
LargeFarms,1,0.07312736043416544,0.010204913654505198,7.165897028622251,8.3412704310152e-13,Var5_3yrs
LargeFarms,2,-0.029434716190842574,0.012920388964977,-2.278160221850176,0.02274054983997342,Var5_3yrs
LargeFarms,3,-0.03873491408221973,0.014488676711485474,-2.6734611347573076,0.007520951406410155,Var5_3yrs
LargeFarms,4,0.05857026102334115,0.011752490634296394,4.9836466878280286,6.35687366208133e-7,Var5_3yrs
LargeFarms,5,-0.011491826526232894,0.015356897524277187,-0.7483169375888499,0.45428871771994683,Var5_3yrs
LargeFarms,6,0.04652934213687382,0.012108831942713073,3.842595417708686,1.225835910849875e-4,Var5_3yrs
LargeFarms,7,0.038540453044674065,0.01212716239181812,3.178027291089654,0.0014878635131723062,Var5_3yrs
LargeFarms,8,-0.023230167012220904,0.0128169846985523,-1.8124518019316034,0.0699499827897936,Var5_3yrs
LargeFarms,9,0.09256983221043961,0.014303974773290202,6.471616014263055,1.0206102334902804e-10,Var5_3yrs
MeanCropArea,1,-0.010512403111802501,0.006298108922782728,-1.6691364409045102,0.09512539570598243,Var5_3yrs
MeanCropArea,2,0.04565296357410939,0.017720767446206757,2.576240770197664,0.01000402422989637,Var5_3yrs
MeanCropArea,3,0.008430204354202449,0.011740153040467556,0.7180659677215513,0.4727353977144445,Var5_3yrs
MeanCropArea,4,0.00977382792010242,0.007746137220379319,1.2617679808703166,0.20706524246832353,Var5_3yrs
MeanCropArea,5,0.023392721012616923,0.025241772035775205,0.9267463860882026,0.35408327271796136,Var5_3yrs
MeanCropArea,6,0.07307807648603548,0.02257158560882803,3.237613774791866,0.0012097398816404948,Var5_3yrs
MeanCropArea,7,0.05321130523176473,0.013266529326545144,4.010943926780733,6.0969443862214695e-5,Var5_3yrs
MeanCropArea,8,-0.004687441773670534,0.016156644398718376,-0.29012471018068364,0.7717275687977132,Var5_3yrs
MeanCropArea,9,1.099834627287877e-4,0.02218674878611701,0.004957168974555119,0.9960448783379721,Var5_3yrs
PercentCrop,1,0.06730303751103238,0.011626792097238901,5.788616236374891,7.336469008526361e-9,Var5_3yrs
PercentCrop,2,-0.08136447604465116,0.017633033997442305,-4.614320828534283,3.998798554619856e-6,Var5_3yrs
PercentCrop,3,-0.04147796874864495,0.018301050552989438,-2.266425560027187,0.02344916059614783,Var5_3yrs
PercentCrop,4,-0.057214450936982554,0.014621504450404107,-3.9130344713194867,9.181998287471239e-5,Var5_3yrs
PercentCrop,5,0.047046307148440616,0.048145939873622694,0.9771604266513754,0.32851620608334764,Var5_3yrs
PercentCrop,6,-0.07585491456324132,0.022533235774009744,-3.3663569371041597,7.648944899530725e-4,Var5_3yrs
PercentCrop,7,-0.04403443094462848,0.01808070980632413,-2.4354370716810276,0.014893244838530684,Var5_3yrs
PercentCrop,8,-0.14272443467104265,0.037343904036645746,-3.82189378301172,1.3332979752598515e-4,Var5_3yrs
PercentCrop,9,-0.0610138487107268,0.024099200463885764,-2.5317789609725874,0.01136555264497867,Var5_3yrs
Corn,1,0.0749614221676941,0.00990298485301546,7.56957859476765,4.119427671679845e-14,Var5_3yrs_crops
Corn,2,-0.05949297419359984,0.013291622450260686,-4.4759753307944,7.701390710610329e-6,Var5_3yrs_crops
Corn,3,-0.006922000008595919,0.01773911708638555,-0.3902110784255677,0.6963898529270411,Var5_3yrs_crops
Corn,4,-0.04352333537139061,0.012918852970240731,-3.3689783041612857,7.576921618830637e-4,Var5_3yrs_crops
Corn,5,-0.044999042322247766,0.016045211025342,-2.8045154564296935,0.005050201853710105,Var5_3yrs_crops
Corn,6,-0.05151270781238703,0.013302396484814011,-3.8724381633936287,1.0852705691949203e-4,Var5_3yrs_crops
Corn,7,-0.026634622256956838,0.01467173158602359,-1.815370060499825,0.06950085853758518,Var5_3yrs_crops
Corn,8,0.05647813188307725,0.024518796081257337,2.3034626861736607,0.02127586927515887,Var5_3yrs_crops
Corn,9,-0.10695196234392725,0.018090613608540165,-5.912014078584801,3.504545038164974e-9,Var5_3yrs_crops
ForestCropEdge,1,-0.011513198866979489,0.004617065610483646,-2.4936182065156878,0.012662946843199244,Var5_3yrs_crops
ForestCropEdge,2,0.028495516322886272,0.008191472599415597,3.4786805396772276,5.063109400861973e-4,Var5_3yrs_crops
ForestCropEdge,3,-0.02535174035300719,0.04063890900668668,-0.6238292555746475,0.5327557881886851,Var5_3yrs_crops
ForestCropEdge,4,0.014674670601083335,0.013651379365793569,1.0749588160925216,0.2824224463592178,Var5_3yrs_crops
ForestCropEdge,5,0.022125842512433002,0.019703477362891804,1.1229409969076483,0.2614929888131427,Var5_3yrs_crops
ForestCropEdge,6,0.04230216459912143,0.009351462178586697,4.523588267938076,6.159139042456457e-6,Var5_3yrs_crops
ForestCropEdge,7,0.07583089010830608,0.019447104240877946,3.899340959406647,9.716706970949784e-5,Var5_3yrs_crops
ForestCropEdge,8,0.3729217446692639,0.10789645122265405,3.4562929590678224,5.50229529041032e-4,Var5_3yrs_crops
ForestCropEdge,9,0.015071387915756618,0.014872512951373956,1.0133719812537993,0.3109101959848948,Var5_3yrs_crops
FruitVeg,1,0.1800203012585079,0.04493050577475681,4.006638655727046,6.209304668885138e-5,Var5_3yrs_crops
FruitVeg,2,-0.1312002804334044,0.04520498340388233,-2.9023410817608344,0.0037129834734247478,Var5_3yrs_crops
FruitVeg,3,0.1563411471627218,0.1273348564771523,1.2277953695324118,0.21955641927932026,Var5_3yrs_crops
FruitVeg,4,-0.12225028649851127,0.046630638971324814,-2.6216729857312964,0.008764894718892633,Var5_3yrs_crops
FruitVeg,5,-0.09781370153672378,0.04661025058810701,-2.098544854459155,0.03588528504073071,Var5_3yrs_crops
FruitVeg,6,-0.14221366834848795,0.04528183295510906,-3.140634092473111,0.0016913725161291483,Var5_3yrs_crops
FruitVeg,7,-0.14911690038767586,0.045011149322250976,-3.3128880873513014,9.270801842296212e-4,Var5_3yrs_crops
FruitVeg,8,-0.11084033306424086,0.04538982823154903,-2.441964144451185,0.014627019885873845,Var5_3yrs_crops
FruitVeg,9,-0.0814813372535491,0.053739050040046005,-1.5162407447252921,0.1294941721255402,Var5_3yrs_crops
LandDiversity,1,0.0014755892661345942,0.00852081376480436,0.17317468810662054,0.8625180757841546,Var5_3yrs_crops
LandDiversity,2,-0.003687755894499221,0.010466161066991102,-0.35235038624906306,0.7245838876857531,Var5_3yrs_crops
LandDiversity,3,-0.012563614931447985,0.011573036517557036,-1.0855936479927442,0.277688353857261,Var5_3yrs_crops
LandDiversity,4,-0.02693345267074895,0.01006439557801195,-2.6761122873182215,0.007461873760726655,Var5_3yrs_crops
LandDiversity,5,0.001384005938260389,0.010786713598703748,0.12830654356362134,0.8979092996473709,Var5_3yrs_crops
LandDiversity,6,-0.020645899969577428,0.012478955568545518,-1.6544573667380889,0.09807004820715114,Var5_3yrs_crops
LandDiversity,7,0.042719124778512474,0.011231521060963888,3.8035030648686083,1.4362303168656586e-4,Var5_3yrs_crops
LandDiversity,8,-0.01454649222425304,0.012310979421016357,-1.1815869173999582,0.2374013676200219,Var5_3yrs_crops
LandDiversity,9,0.01149006070905667,0.01663876341958602,0.6905597741435131,0.4898603276418647,Var5_3yrs_crops
